Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
Revue de science criminelle et de droit penal compare,0035-1733,,Editions Dalloz,France,Core Coverage - Actively Indexed
Revue d'economie du developpement,1245-4060,,PUF,France,Selective Coverage - Actively Indexed
Revue d'economie industrielle,0154-3229,,CNRS,France,Core Coverage - Actively Indexed
Revue d'economie politique,0373-2630,,Editions Dalloz,France,Selective Coverage - Actively Indexed
Revue d'economie regionale et urbaine,0180-7307,,Editions Armand Colin,France,Core Coverage - Actively Indexed
Revue des etudes sud-est europeennes,0035-2063,,Editura Academiei Romane,Romania,Core Coverage - Actively Indexed
Revue des sciences de gestion,1160-7742,,La Revue des Sciences de Gestion,France,Core Coverage - Actively Indexed
Revue des sciences humaines,0035-2195,,Universite Charles-de-Gaulle - Lille 3,France,Core Coverage - Actively Indexed
Revue d'etudes comparatives Est-Ouest,0338-0599,,NecPlus,France,Selective Coverage - Actively Indexed
Revue d'histoire des sciences humaines,1622-468X,,Sciences Humaines,France,Selective Coverage - Actively Indexed
Revue d'histoire moderne et contemporaine,0048-8003,,Editions BELIN,France,Selective Coverage - Actively Indexed
Revue du MAUSS semestrielle,1247-4819,,Editions la Decouverte,France,Selective Coverage - Actively Indexed
Revue economique,0255-0830,,Presses de Sciences Po,France,Selective Coverage - Actively Indexed
Revue economique et sociale,0035-2772,,Societe d'etudes economiques et sociales,Switzerland,Core Coverage - Actively Indexed
Revue europeenne des migrations internationales,0765-0752,,MSHS,France,Selective Coverage - Actively Indexed
Revue europeenne des sciences sociales: Cahiers Vilfredo Pareto,0048-8046,,Librairie DROZ,Switzerland,Core Coverage - Actively Indexed
Revue francaise d'administration publique,0152-7401,,Ecole National d'Administration,France,Selective Coverage - Actively Indexed
Revue francaise de droit constitutionnel,1151-2385,,Presses Universitaires de France,France,Selective Coverage - Actively Indexed
Revue francaise de gestion,0338-4551,,Lavoisier SAS,France,Selective Coverage - Actively Indexed
Revue francaise de pedagogie,0556-7807,,Institut national de recherche pedagogique,France,Core Coverage - Actively Indexed
Revue francaise de science politique,0035-2950,,Presses de Sciences Po,France,Selective Coverage - Actively Indexed
Revue francaise de socio-economie,1966-6608,2104-3833,La Decouverte,France,Core Coverage - Actively Indexed
Revue francaise de sociologie,0035-2969,,Revue francais de sociologie,France,Core Coverage - Actively Indexed
Revue francaise d'economie,0769-0479,,Revue francaise d'economie,France,Selective Coverage - Actively Indexed
Revue francaise des affaires sociales,0035-2985,,Documentation Francaise,France,Selective Coverage - Actively Indexed
Revue francaise d'etudes americaines,0397-7870,,Association Francaise d'Etudes Americaines,France,Selective Coverage - Actively Indexed
Revue francaise du marketing,0035-3051,,ADETEM,France,Selective Coverage - Actively Indexed
Revue gestion 2000: management et prospective,0773-0543,,Recherches et Publications en Management a.s.b.l.,Belgium,Core Coverage - Actively Indexed
Revue historique,0035-3264,,Presses Universitaires de France,France,Core Coverage - Actively Indexed
Revue internationale de droit economique,1010-8831,,De Boeck Universite,France,Selective Coverage - Actively Indexed
Revue internationale de l'economie sociale: Recma,0035-2020,,Institut de l'economie sociale,France,Core Coverage
Revue internationale de l'economie sociale: Recma,1626-1682,,Institut de l'economie sociale,France,Core Coverage - Actively Indexed
Revue internationale de politique comparee,1370-0731,,Editions De Boeck,Belgium,Selective Coverage - Actively Indexed
Revue internationale de securite sociale,0379-0312,1752-1718,Wiley-Blackwell,Switzerland,Core Coverage - Actively Indexed
Revue internationale des sciences administratives,0303-965X,,International Institute of Administrative Sciences,Belgium,Core Coverage - Actively Indexed
Revue internationale des sciences administratives,0773-2961,,IISA,Belgium,Selective Coverage - Actively Indexed
Revue internationale d'intelligence economique,2101-647X,2102-6408,Lavoisier,France,Core Coverage - Actively Indexed
Revue internationale du travail,0378-5599,,Blackwell Publishing,Switzerland,Selective Coverage - Actively Indexed
Revue internationale et strategique,1287-1672,,Institut de Relations Internationales et Strategiques,France,Selective Coverage - Actively Indexed
"Revue juridique et politique, independance et cooperation",0035-3574,,Editions Juris Africa,France,Core Coverage - Actively Indexed
Revue Tiers Monde,1293-8882,,Armand Colin,France,Core Coverage - Actively Indexed
Revue trimestrielle de droit commercial et de droit economique,0244-9358,,Editions Dalloz,France,Core Coverage - Actively Indexed
Revue trimestrielle de droit europeen,0035-4317,,Editions Dalloz,France,Core Coverage - Actively Indexed
Rian Thai: International journal of Thai studies,1906-4241,,Institute of Thai studies,Thailand,Core Coverage - Actively Indexed
Riron to hoho/Sociological theory and methods,0913-1442,,Japanese Association for Mathematical Sociology,Japan,Core Coverage - Actively Indexed
Risk analysis,0272-4332,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Risk governance and control: financial markets & institutions,2077-429X,2077-4303,Virtus InterPress,Ukraine,Core Coverage - Actively Indexed
Risk management: an international journal,1460-3799,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
Rivista di diritto finanziario e scienza delle finanze,0035-6131,,Giuffre Editore,Italy,Core Coverage - Actively Indexed
Rivista di economia agraria,0035-6190,,FrancoAngeli s.r.l.,Italy,Core Coverage - Actively Indexed
Rivista di storia economica,0393-3415,,Societa editrice il Mulino,Italy,Core Coverage - Actively Indexed
Rivista di studi politici internazionali,0035-6611,,Casa Editrice Le Lettre,Italy,Core Coverage - Actively Indexed
Rivista internazionale di scienze sociali,0035-676X,,Casa Editrice Vita e Pensiero,Italy,Core Coverage - Actively Indexed
Rivista italiana di politiche pubbliche,1722-1137,,il Mulino,Italy,Core Coverage - Actively Indexed
Rivista italiana di scienza politica,0048-8402,,Societa editrice il Mulino,Italy,Core Coverage - Actively Indexed
Rivista trimestrale di diritto pubblico,0557-1464,,Giuffre Editore,Italy,Core Coverage - Actively Indexed
Rivista trimestrale di scienza dell'amministrazione,0391-190X,1972-4942,Franco Angeli,Italy,Core Coverage - Actively Indexed
Rocznik Antropologii Historii,2084-1418,,"Instytut Historii i Archiwistyki, Uniwersytet Mikoaja Kopernika w Toruniu",Poland,Selective Coverage - Actively Indexed
Rocznik Przemyski,0137-4168,,Panstwowa Wyzsza Szkola Wschodnioeuropejska w Przemyslu,Poland,Selective Coverage - Actively Indexed
Roczniki socjologii rodziny. Studia socjologiczne oraz interdyscyplinarne,0867-2059,,Wydawnictwo Naukowe UAM,Poland,Selective Coverage - Actively Indexed
Romani studies,1528-0748,,Gypsy Lore Society,U.S.A.,Core Coverage - Actively Indexed
Romanian journal of European affairs,1582-8271,,European Institute of Romania,Romania,Core Coverage - Actively Indexed
Romanian journal of political science,1582-456X,,Societatea Academica din Romania,Romania,Core Coverage - Actively Indexed
Romanian journal of population studies,1843-5998,,Centrul de Studiere a Populaiei,Romania,Core Coverage - Actively Indexed
Round table,0035-8533,1474-029X,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Rozprawy i studia Uniwersytetu Szczecinskiego,0860-2751,,Wydawnictwo Naukow Uniwersytetu Szczecinskiego,Poland,Selective Coverage - Actively Indexed
Rue Descartes,1144-0821,,Presses Universitaires de France,,Core Coverage - Actively Indexed
"Rural history: Economy, society, culture",0956-7933,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Rural sociology,0036-0112,1549-0831,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Russian politics and law,1061-1940,,M.E. Sharpe,U.S.A.,Core Coverage - Actively Indexed
Russian review,0036-0341,,Blackwell Publishing,U.S.A.,Core Coverage - Actively Indexed
Rydwan: roczniki Muzealne,1896-9437,,Muzeum Ziemi Kociewskiej w Starogardzie Gdanskim,Poland,Selective Coverage - Actively Indexed
Safundi: journal of South African and American studies,1753-3171,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
SAHARA J: Journal of Social Aspects of HIV/AIDS,1729-0376,,SAHARA,South Africa,Core Coverage - Actively Indexed
SAIS review,0036-0775,,Johns Hopkins University Press,U.S.A.,Core Coverage - Actively Indexed
Salute e Societa,1723-9427,1972-4845,Franco Angeli Editore,Italy,Core Coverage - Actively Indexed
Sante publique,0995-3914,,Sante publique,France,Core Coverage - Actively Indexed
Santiago,2227-6513,,"Universidad de Oriente, Venezuela",Cuba,Core Coverage - Actively Indexed
Savings and development,0393-4551,,"University of Bergamo, Researhc Center on International Co-operation",Italy,Core Coverage - Actively Indexed
Scandinavian economic history review,0358-5522,1750-2837,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Scandinavian journal of economics,0347-0520,1467-9442,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Scandinavian journal of history,0346-8755,,Taylor and Francis Ltd,Norway,Core Coverage - Actively Indexed
Scandinavian journal of public health,1403-4948,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Scandinavian political studies,0080-6757,1467-9477,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Schmalenbach business review/Schmalenbachs Zeitschrift fur betriebswirtschaftliche Forschung,1439-2917,,Handelsblatt,Germany,Core Coverage - Actively Indexed
Schmollers Jahrbuch: Zeitschrift fur Wirtschafts- und Sozialwissenschaften,1439-121X,,Duncker und Humblot Gmbh,Germany,Selective Coverage - Actively Indexed
Schweizerische Zeitschrift fur Soziologie/Revue suisse de sociologie/Swiss journal of sociology,0379-3664,,Seismo Press,Switzerland,Core Coverage - Actively Indexed
Science and public policy,0302-3427,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Science and society,0036-8237,,Guilford Publications,U.S.A.,Core Coverage - Actively Indexed
Science as culture,0950-5431,1470-1189,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
"Science, technology and society",0971-7218,,Sage India,U.S.A.,Core Coverage - Actively Indexed
"Science, technology, and human values",0162-2439,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Sciences humaines,0996-6994,,Sciences Humaines,France,Core Coverage - Actively Indexed
Scientific journal for theory and practice of socio-economic development Socioeconomica (SJSECO),,2217-7558,"AKROASIS, the Scientific Society for the Promotion and Advancement of Social Sciences",Serbia,Core Coverage - Actively Indexed
Scottish geographical journal,1470-2541,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
Scottish journal of political economy,0036-9292,1467-9485,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Securite globale,1959-6782,,Choiseul Editions,France,Core Coverage - Actively Indexed
Security dialogue,0967-0106,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
Security studies,0963-6412,,"Frank Cass, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Senses and society,1745-8927,,Berg Publishers,United Kingdom,Core Coverage - Actively Indexed
SERIEs: Journal of the Spanish Economic Association,1869-4187,,Springer,Netherlands,Core Coverage - Actively Indexed
Sexualities: studies in culture and society,1363-4607,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Shaman,1216-7827,,Molnar & Kelemen Oriental Publishers,Hungary,Core Coverage - Actively Indexed
Sibirica: Journal of Siberian studies,1361-7362,,Berghahn Books,United Kingdom,Core Coverage - Actively Indexed
Sigma,1422-1500,,Swiss Re,Switzerland,Selective Coverage - Actively Indexed
Signs: journal of women in culture and society,0097-9740,,University of Chicago Press,U.S.A.,Core Coverage - Actively Indexed
Simulation and gaming,1046-8781,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Singapore economic review,0217-5908,,World Scientific Publishing Co. Pte Ltd,Singapore,Core Coverage - Actively Indexed
Singapore journal of tropical geography,0129-7619,,Blackwell Publishers,Singapore,Core Coverage - Actively Indexed
Sistema,0210-0223,,Fundacion Sistema,Spain,Core Coverage - Actively Indexed
Slavia Orientalis,0037-6744,,Dom Wydawniczy Elipsa,Poland,Selective Coverage - Actively Indexed
Slavic review,0037-6779,,Slavic Review,U.S.A.,Core Coverage - Actively Indexed
Slavonic and East European review,0037-6795,,MHRA,United Kingdom,Core Coverage - Actively Indexed
"Slovansky prehled: review for Central, Eastern and Southeastern European history",0037-6922,,Academia,Czech Republic,Core Coverage - Actively Indexed
Slovo,0954-6839,,Maney Publishing,United Kingdom,Core Coverage - Actively Indexed
Small business economics,0921-898X,,Springer,Netherlands,Core Coverage - Actively Indexed
Small wars and insurgencies,0959-2318,1743-9558,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Social action [New Delhi],0037-7627,,Indian Social Institute,India,Core Coverage - Actively Indexed
Social analysis [Adelaide],0155-977X,,Berghahn Books Ltd,Australia,Core Coverage - Actively Indexed
Social and cultural geography,1464-9365,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Social and economic studies,0037-7651,,Sir Arthur Lewis Institute of Social and Economic Research,Jamaica,Core Coverage - Actively Indexed
Social and legal studies,0964-6639,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
Social anthropology,0964-0282,1469-8676,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Social choice and welfare,0176-1714,,Springer,Germany,Core Coverage - Actively Indexed
Social compass,0037-7686,,Sage Publications Ltd.,United Kingdom,Core Coverage - Actively Indexed
Social development issues: alternative approaches to global human needs,0147-1473,,"School of Social Work, University of Texas at Arlington",U.S.A.,Core Coverage - Actively Indexed
Social dynamics,0253-3952,1940-7874,Taylor and Francis Ltd.,South Africa,Core Coverage - Actively Indexed
Social epistemology,0269-1728,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
